DATE;gRGDPF1;GBdate
1968,3;0,8;19680807
1968,3;0,4;19680904
1968,4;2,1;19681120
1968,4;2,8;19681211
1969,1;1,5;19690108
1969,1;1,5;19690129
1969,1;1,8;19690226
1969,1;2,6;19690326
1969,2;1,5;19690423
1969,2;1,4;19690521
1969,2;1,5;19690618
1969,3;1;19690709
1969,3;1,1;19690806
1969,3;1,2;19690904
1969,4;-0,1;19691001
1969,4;-0,5;19691022
1969,4;-0,5;19691119
1969,4;0,1;19691210
1970,1;0;19700107
1970,1;-0,2;19700204
1970,1;-0,5;19700304
1970,2;2;19700401
1970,2;3,9;19700429
1970,2;2,6;19700520
1970,2;1,8;19700617
1970,3;2,5;19700715
1970,3;2,7;19700812
1970,3;2,5;19700909
1970,4;3,8;19701014
1970,4;4,3;19701111
1970,4;5,8;19701209
1971,1;2,2;19710106
1971,1;3,7;19710203
1971,1;3,6;19710303
1971,1;2,7;19710331
1971,2;2,4;19710428
1971,2;2,1;19710602
1971,2;2,5;19710623
1971,3;5;19710721
1971,3;6,6;19710820
1971,3;6,4;19710915
1971,4;7,9;19711013
1971,4;6,3;19711110
1971,4;6,8;19711208
1972,1;6,6;19720107
1972,1;6,5;19720209
1972,1;6,3;19720315
1972,2;7,4;19720412
1972,2;7,9;19720517
1972,2;7,7;19720614
1972,3;7,7;19720712
1972,3;7,5;19720809
1972,3;7,9;19720913
1972,4;7,1;19721011
1972,4;6,6;19721115
1972,4;6,8;19721213
1973,1;6,2;19730110
1973,1;6;19730207
1973,1;6,2;19730314
1973,2;4,8;19730411
1973,2;4,8;19730509
1973,2;4,3;19730618
1973,3;3,3;19730711
1973,3;2,6;19730815
1973,3;3;19730912
1973,4;2,5;19731010
1973,4;3;19731114
1973,4;-0,8;19731212
1974,1;-0,7;19740116
1974,1;-0,7;19740213
1974,1;-1,5;19740313
1974,2;2,9;19740410
1974,2;2,4;19740515
1974,2;1,3;19740612
1974,3;1,3;19740710
1974,3;-1,2;19740814
1974,3;-1,7;19740904
1974,4;-2,7;19741009
1974,4;-2,5;19741113
1974,4;-4;19741211
1975,1;-2,1;19750115
1975,1;-3,6;19750212
1975,1;-3,7;19750312
1975,2;6,5;19750409
1975,2;4,6;19750514
1975,2;5,4;19750611
1975,3;6;19750709
