;first;recent;second;third
1969:Q1;2,927;6,363;2,870;2,870
1969:Q2;2,344;1,294;2,006;2,006
1969:Q3;2,052;2,522;2,164;2,164
1969:Q4;-0,055;-1,729;-0,437;-0,437
1970:Q1;-1,58;-0,711;-2,981;-2,981
1970:Q2;0,277;0,707;0,609;0,609
1970:Q3;1,442;3,593;1,387;1,387
1970:Q4;-3,313;-4,049;-3,848;-3,848
1971:Q1;6,424;11,142;7,066;7,066
1971:Q2;3,667;2,303;4,062;4,855
1971:Q3;2,847;3,172;3,902;3,902
1971:Q4;6,074;1,173;5,848;5,848
1972:Q1;5,265;7,366;5,598;5,598
1972:Q2;8,948;9,595;9,394;9,394
1972:Q3;5,945;3,732;6,372;6,372
1972:Q4;8,445;6,812;8,018;8,018
1973:Q1;7,861;10,219;7,965;7,965
1973:Q2;2,581;4,613;2,434;2,434
1973:Q3;3,546;-2,158;3,399;3,399
1973:Q4;1,338;3,785;1,578;1,578
1974:Q1;-5,835;-3,283;-6,287;-6,287
1974:Q2;-1,199;1,06;-0,816;-1,628
1974:Q3;-2,87;-3,818;-2,111;-1,921
1974:Q4;-9,1;-1,589;-9,054;-8,964
1975:Q1;-10,367;-4,751;-11,325;-11,416
1975:Q2;-0,307;3,12;1,599;1,859
1975:Q3;11,158;6,781;13,217;13,385
1975:Q4;5,399;5,496;4,881;4,984
1976:Q1;7,504;9,345;8,479;8,689
1976:Q2;4,371;3,06;4,271;4,470
1976:Q3;3,93;2,051;3,766;3,930
1976:Q4;2,956;3,036;2,443;2,603
1977:Q1;5,223;4,736;6,363;6,921
1977:Q2;6,435;8,083;6,116;6,148
1977:Q3;3,811;7,266;4,710;5,115
1977:Q4;4,221;0,04;4,007;3,854
1978:Q1;-0,558;1,403;-0,411;0,029
1978:Q2;7,404;16,482;7,998;8,656
1978:Q3;3,428;3,966;3,399;2,570
1978:Q4;6,115;5,476;6,356;6,687
1979:Q1;0,737;0,794;0,453;0,823
1979:Q2;-3,259;0,486;-2,356;-2,301
1979:Q3;2,412;2,907;3,447;3,130
1979:Q4;1,431;1,04;2,081;1,968
1980:Q1;1,088;1,298;0,640;1,228
1980:Q2;-9,061;-7,867;-9,035;-9,627
1980:Q3;0,998;-0,606;0,883;2,372
1980:Q4;5,039;7,622;4,027;3,775
1981:Q1;6,507;8,536;8,440;8,554
1981:Q2;-1,912;-2,886;-2,353;-1,573
1981:Q3;-0,581;4,67;0,637;1,438
1981:Q4;-5,225;-4,59;-4,717;-4,513
1982:Q1;-3,893;-6,522;-4,255;-3,659
1982:Q2;1,669;2,192;1,257;2,111
1982:Q3;0,76;-1,43;0,000;0,733
1982:Q4;-2,515;0,389;-1,930;-1,049
1983:Q1;3,095;5,347;2,459;2,597
1983:Q2;8,671;9,444;9,243;9,732
1983:Q3;7,909;8,063;7,687;7,632
1983:Q4;4,477;8,51;4,850;5,010
